seed,result,tides_completed,final_weave,max_weave,invaders_killed,natives_killed,heart_damage_events,peak_corruption,total_corruption_at_end,total_presence_at_end,sacrifices,total_fear_generated,export_string
42,Clean,6,14,20,23,4,3,6,0,12,0,39,"SEED:42|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_009:-|3:SelectTarget:-:A1|4:PlayBottom:root_004:-|5:PlayTop:root_008:-|6:PlayTop:root_005:-|7:PlayBottom:root_006:-|8:SelectTarget:-:A2|9:Rest:-:A2|10:PlayTop:root_008:-|11:PlayTop:root_025:-|12:SelectTarget:-:A1|13:PlayBottom:root_007:-|14:PlayTop:root_003:-|15:PlayTop:root_001:-|16:SelectTarget:-:M1|17:PlayBottom:root_009:-|18:SelectTarget:-:A2|19:Rest:-:A1|20:PlayTop:root_005:-|21:PlayTop:root_004:-|22:PlayBottom:root_002:-|23:SelectTarget:-:A3|24:PlayTop:root_008:-|25:PlayTop:root_006:-|26:SelectTarget:-:M1|27:PlayBottom:root_001:-|28:SelectTarget:-:A1|29:PlayTop:root_025:-|30:PlayTop:root_003:-|31:SkipPhase:-:-|32:PlayTop:root_007:-|33:PlayTop:root_009:-|34:SkipPhase:-:-"
43,Clean,6,15,20,23,0,3,0,0,11,0,52,"SEED:43|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_006:-|3:SelectTarget:-:A1|4:PlayBottom:root_009:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_005:-|8:PlayBottom:root_008:-|9:Rest:-:A1|10:PlayTop:root_025:-|11:SelectTarget:-:A3|12:PlayTop:root_007:-|13:PlayBottom:root_008:-|14:PlayTop:root_004:-|15:PlayTop:root_005:-|16:PlayBottom:root_006:-|17:SelectTarget:-:A2|18:Rest:-:A1|19:PlayTop:root_005:-|20:PlayTop:root_001:-|21:SelectTarget:-:A1|22:PlayBottom:root_009:-|23:SelectTarget:-:A1|24:PlayTop:root_003:-|25:PlayTop:root_002:-|26:SelectTarget:-:A3|27:PlayBottom:root_008:-|28:PlayTop:root_025:-|29:PlayTop:root_004:-|30:SkipPhase:-:-|31:PlayTop:root_007:-|32:PlayTop:root_006:-|33:SkipPhase:-:-"
44,Clean,6,20,20,23,0,1,0,0,12,0,32,"SEED:44|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_008:-|3:PlayBottom:root_005:-|4:SelectTarget:-:A2|5:PlayTop:root_007:-|6:PlayTop:root_001:-|7:SelectTarget:-:A1|8:PlayBottom:root_006:-|9:SelectTarget:-:A3|10:Rest:-:A3|11:PlayTop:root_004:-|12:PlayTop:root_025:-|13:SelectTarget:-:A3|14:PlayBottom:root_002:-|15:SelectTarget:-:A2|16:PlayTop:root_008:-|17:PlayTop:root_005:-|18:PlayBottom:root_003:-|19:Rest:-:A1|20:PlayTop:root_007:-|21:PlayTop:root_001:-|22:SelectTarget:-:A1|23:PlayBottom:root_009:-|24:SelectTarget:-:M1|25:PlayTop:root_005:-|26:PlayTop:root_006:-|27:SelectTarget:-:M1|28:PlayBottom:root_002:-|29:SelectTarget:-:M2|30:PlayTop:root_004:-|31:PlayTop:root_025:-|32:SkipPhase:-:-|33:SkipPhase:-:-"
